ID,Score,Decay,Straight_MIN,Straight_MAX,PatternID_Array
1,0,4,4,8,"(1,2)"
2,10,5,4,8,"(1,2)"
3,20,6,4,8,"(1,2)"
4,30,7,4,8,"(1,2)"
5,40,8,4,8,"(1,2)"
6,50,9,4,7,"(1,2)"
7,60,10,4,7,"(1,2,3,4)"
8,70,11,4,7,"(1,2,3,4)"
9,80,12,4,7,"(1,2,3,4)"
10,90,13,3,7,"(1,2,3,4)"
11,100,14,3,7,"(1,2,3,4)"
12,110,15,3,6,"(1,2,3,4)"
13,120,16,3,6,"(1,2,3,4)"
14,130,17,3,6,"(1,2,3,4,5,6,7,8)"
15,140,18,3,6,"(1,2,3,4,5,6,7,8)"
16,150,19,3,6,"(1,2,3,4,5,6,7,8)"
17,160,20,3,6,"(1,2,3,4,5,6,7,8)"
18,170,21,3,5,"(1,2,3,4,5,6,7,8)"
19,180,22,3,5,"(1,2,3,4,5,6,7,8)"
20,190,23,2,5,"(1,2,3,4,5,6,7,8)"
21,200,24,2,5,"(1,2,3,4,5,6,7,8)"
22,210,25,2,5,"(1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16)"
23,220,26,2,5,"(1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16)"
24,230,27,2,4,"(1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16)"
25,240,28,2,4,"(1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16)"
26,250,29,2,4,"(1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16)"
27,260,30,1,4,"(1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48)"
28,270,31,1,4,"(1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48)"
29,280,32,1,3,"(1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48)"
30,290,33,1,3,"(1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48)"
